customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,MonthlyRevenue,RevenuePerTenureMonth,ChurnProbability,RiskLevel,RevenueAtRisk
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,13-24 Months,49.95,45.18846153846154,0.2751625960070348,Low,13.74437167055139
7469-LKBCI,Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,13-24 Months,18.95,20.425,0.02536433617377394,Low,0.4806541704930162
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,49-72 Months,100.35,97.95,0.13984767193755834,Low,14.033713878933979
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,49-72 Months,103.7,102.78163265306122,0.4201095893028962,Medium,43.56536441071034
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,25-48 Months,105.5,107.442,0.4528465732849257,Medium,47.775313481559664
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,49-72 Months,113.25,114.42246376811592,0.03666817929852747,Low,4.152671305558236
8191-XWSZG,Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,49-72 Months,20.65,19.672115384615385,0.009756678742927396,Low,0.20147541604145072
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,49-72 Months,106.7,103.97535211267606,0.04362041228489166,Low,4.65429799079794
4190-MFLUW,Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,7-12 Months,55.2,52.835,0.22731556738786163,Low,12.547819319809962
4183-MYFRB,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,13-24 Months,90.05,88.70952380952382,0.6515959475334173,High,58.67621507538423
8779-QRDMV,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,0-6 Months,39.65,39.65,0.5899083552912696,Medium,23.38986628729884
1680-VDCWW,Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,7-12 Months,19.8,16.854166666666668,0.05915787322311065,Low,1.171325889817591
1066-JKSGK,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0-6 Months,20.15,20.15,0.18332215710182373,Low,3.693941465601748
3638-WEABW,Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,49-72 Months,59.9,60.43275862068965,0.02110751395928652,Low,1.2643400861612626
6322-HRPFA,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,49-72 Months,59.6,60.61836734693878,0.044566609079874565,Low,2.656169901160524
6865-JZNKO,Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,25-48 Months,55.3,51.02,0.1675334065596502,Low,9.264597382748656
6467-CHFZW,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,25-48 Months,99.35,101.04574468085106,0.528467077140665,Medium,52.503204113925065
8665-UTDHZ,Male,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,0-6 Months,30.2,30.2,0.4740695247055458,Medium,14.316899646107483
5248-YGIJN,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,49-72 Months,90.25,88.46458333333334,0.015946888384377304,Low,1.4392066766900518
8773-HHUOZ,Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,13-24 Months,64.7,64.3,0.3823419582396352,Medium,24.737524698104398
3841-NFECX,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,49-72 Months,96.35,95.30915492957746,0.03405406482273581,Low,3.2811091456705954
4929-XIHVW,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0-6 Months,95.5,90.825,0.6669328771828836,High,63.69208977096539
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,25-48 Months,66.15,69.42407407407407,0.05612002656143587,Low,3.7123397570389836
7310-EGVHZ,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0-6 Months,20.2,20.2,0.17937591360522412,Low,3.623393454825527
3413-BMNZE,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0-6 Months,45.25,45.25,0.38553114922667203,Medium,17.445284502506908
6234-RAAPL,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,49-72 Months,99.9,100.71805555555557,0.0261116226216355,Low,2.6085510999013866
6047-YHPVI,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0-6 Months,69.7,63.38,0.7199660042311162,High,50.1816304949088
6572-ADKRS,Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,25-48 Months,74.8,77.13695652173914,0.3181509499946434,Medium,23.797691059599323
5380-WJKOV,Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,25-48 Months,106.35,104.38970588235294,0.6199849205167,High,65.93539629695104
8168-UQWWF,Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,7-12 Months,97.85,100.4909090909091,0.6321484993032946,High,61.855730656827376
8865-TNMNX,Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,7-12 Months,49.55,47.57,0.18418719615349266,Low,9.12647556940556
9489-DEDVP,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,49-72 Months,69.2,69.605,0.01594056037686309,Low,1.1030867780789257
9867-JCZSP,Female,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,13-24 Months,20.75,24.602941176470587,0.05027100181541127,Low,1.0431232876697838
4671-VJLCL,Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,49-72 Months,79.85,77.16587301587302,0.015962545597849633,Low,1.274609265988293
4080-IIARD,Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,13-24 Months,76.2,75.49615384615385,0.3206015674911829,Medium,24.42983944282814
3714-NTNFO,Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,49-72 Months,84.5,79.72857142857143,0.4264360804835473,Medium,36.03384880085975
5948-UJZLF,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0-6 Months,49.25,48.5,0.3869022000976209,Medium,19.05493335480783
7760-OYPDY,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,0-6 Months,80.65,72.075,0.7503954190516278,High,60.51939054651378
7639-LIAYI,Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,49-72 Months,79.75,81.11153846153846,0.023585350979678336,Low,1.8809317406293473
2954-PIBKO,Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,49-72 Months,64.15,61.6536231884058,0.009192780869292958,Low,0.5897168927651433
8012-SOUDQ,Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,25-48 Months,90.25,89.27325581395348,0.5066458467873419,Medium,45.72478767255761
9420-LOJKX,Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,13-24 Months,99.1,95.09333333333332,0.4710443004641675,Medium,46.680490175999
6575-SUVOI,Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,25-48 Months,69.5,70.10600000000001,0.15768646312958742,Low,10.959209187506326
7495-OOKFY,Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,7-12 Months,80.65,79.1625,0.6087461879916314,High,49.09538006152508
4667-QONEA,Female,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,49-72 Months,74.85,74.27250000000001,0.030854988893431017,Low,2.3094959186733113
1658-BYGOY,Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,13-24 Months,95.45,97.36388888888888,0.6849350150197001,High,65.37704718363038
8769-KKTPH,Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,49-72 Months,99.65,100.17777777777778,0.12205731001618124,Low,12.163010943112461
5067-XJQFU,Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,49-72 Months,108.45,107.21742424242424,0.21188470057595213,Low,22.978895777462007
3957-SQXML,Female,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,25-48 Months,24.95,26.302941176470583,0.01196066003588213,Low,0.29841846789525917
5954-BDFSG,Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,49-72 Months,107.5,109.07916666666668,0.07265440876695595,Low,7.810348942447765
0434-CSFON,Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,25-48 Months,100.5,100.15106382978723,0.5266993168790151,Medium,52.93328134634101
1215-FIGMP,Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,49-72 Months,89.9,90.845,0.30035967398856844,Medium,27.002334691572305
0526-SXDJP,Male,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,49-72 Months,42.1,41.138888888888886,0.005139817045952706,Low,0.21638629763460893
0557-ASKVU,Female,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,13-24 Months,54.4,53.172222222222224,0.1397202624921774,Low,7.60078227957445
5698-BQJOH,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,7-12 Months,94.4,95.25,0.6384317654764778,High,60.26795866097951
5122-CYFXA,Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0-6 Months,75.3,81.36666666666666,0.5142522499034787,Medium,38.723194417731946
8627-ZYGSZ,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,25-48 Months,78.9,77.66702127659575,0.268648708371805,Low,21.196383090535416
3410-YOQBQ,Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,25-48 Months,79.2,80.55483870967741,0.04926598725263418,Low,3.901866190408627
3170-NMYVV,Female,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,49-72 Months,20.15,18.618,0.005367605355031491,Low,0.10815724790388455
7410-OIEDU,Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,7-12 Months,79.85,88.735,0.4971728582424227,Medium,39.69925273065745
2273-QCKXA,Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0-6 Months,49.05,49.05,0.3028386974492925,Medium,14.854238109887795
0731-EBJQB,Female,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,49-72 Months,20.4,20.974038461538463,0.022462173108024872,Low,0.45822833140370733
1891-QRQSA,Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,49-72 Months,111.6,110.921875,0.059271492362509184,Low,6.614698547656024
8028-PNXHQ,Male,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,49-72 Months,24.25,22.97741935483871,0.0050937521929716205,Low,0.1235234906795618
5630-AHZIL,Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0-6 Months,64.5,59.13333333333333,0.2824177860410744,Low,18.2159471996493
2673-CXQEU,Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,49-72 Months,110.5,109.63392857142856,0.17531679273436127,Low,19.37250559714692
6416-JNVRK,Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,25-48 Months,55.65,58.45326086956521,0.05665298438886889,Low,3.1527385812405537
5590-ZSKRV,Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,7-12 Months,54.65,60.28125,0.24270493440706048,Low,13.263824665345854
0191-ZHSKZ,Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,25-48 Months,74.75,70.37666666666668,0.28440186044636273,Low,21.259039068365613
3887-PBQAO,Female,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,25-48 Months,25.9,27.035555555555558,0.021381258858448656,Low,0.5537746044338202
5919-TMRGD,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,0-6 Months,79.35,79.35,0.755763066902295,High,59.9697993586971
8108-UXRQN,Female,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,7-12 Months,50.55,51.39545454545455,0.29187424814817087,Low,14.754243243890036
9191-MYQKX,Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,7-12 Months,75.15,70.98571428571428,0.6182343436739739,High,46.460310927099144
9919-YLNNG,Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,25-48 Months,103.8,103.03571428571428,0.3622421547336154,Medium,37.600735661349276
0318-ZOPWS,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,49-72 Months,20.15,19.864285714285717,0.008725935362126307,Low,0.17582759754684507
4445-ZJNMU,Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,7-12 Months,99.3,102.08333333333331,0.6342769667842595,High,62.98370280167696
4808-YNLEU,Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,25-48 Months,62.15,63.29857142857142,0.08654161520327625,Low,5.378561384883619
1862-QRWPE,Female,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,25-48 Months,20.65,22.02083333333333,0.00619452959409249,Low,0.12791703611800992
2796-NNUFI,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,25-48 Months,19.95,20.15434782608696,0.010342757838006875,Low,0.20633801886823716
3016-KSVCP,Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,25-48 Months,33.75,34.80172413793103,0.15499116549761607,Low,5.230951835544542
4767-HZZHQ,Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,25-48 Months,82.05,85.67333333333333,0.36865070490965796,Medium,30.247790337837433
2424-WVHPL,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0-6 Months,74.7,74.7,0.5676496920256467,Medium,42.40343199431582
7233-PAHHL,Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,49-72 Months,84.0,86.57954545454545,0.019034159815990354,Low,1.5988694245431896
6067-NGCEU,Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,49-72 Months,111.05,109.33846153846154,0.25181828580144355,Low,27.964420638250306
9848-JQJTX,Male,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,49-72 Months,100.9,103.59791666666666,0.09741892624422942,Low,9.829569658042749
8637-XJIVR,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,7-12 Months,78.95,77.27916666666667,0.5731351774954848,Medium,45.24902226326853
9803-FTJCG,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,49-72 Months,66.85,66.8830985915493,0.018335457794698376,Low,1.2257253535755863
0278-YXOOG,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,0-6 Months,21.05,22.77,0.15773123517276763,Low,3.3202425003867586
3212-KXOCR,Male,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,49-72 Months,21.0,21.29230769230769,0.005097602280016979,Low,0.10704964788035656
4598-XLKNJ,Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,25-48 Months,98.5,100.58,0.6540068629416179,High,64.41967599974936
6380-ARCEH,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0-6 Months,20.2,20.2,0.18335637977072541,Low,3.703798871368653
3679-XASPY,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0-6 Months,19.45,19.45,0.25107453739232705,Low,4.883399752280761
7123-WQUHX,Male,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,25-48 Months,95.0,94.88421052631578,0.14984631904594112,Low,14.235400309364406
5386-THSLQ,Female,Yes,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,49-72 Months,45.55,45.86742424242424,0.022561991450096547,Low,1.0276987105518975
3192-NQECA,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,49-72 Months,110.0,111.93897058823528,0.08757820716275992,Low,9.633602787903591
6180-YBIQI,Male,No,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0-6 Months,24.3,20.04,0.3262382522142367,Medium,7.927589528805952
6728-DKUCO,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,49-72 Months,104.15,101.43125,0.15893296767194864,Low,16.55286858303345
9750-BOOHV,Female,No,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,25-48 Months,30.15,28.9890625,0.04309076750040062,Low,1.2991866401370786
8597-CWYHH,Male,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,25-48 Months,94.35,91.19302325581396,0.18626218247913576,Low,17.57383691690646
2848-YXSMW,Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,49-72 Months,19.4,18.93402777777778,0.0018031761562181314,Low,0.034981617430631745
0486-HECZI,Male,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,49-72 Months,96.75,95.25272727272728,0.3376246106440848,Medium,32.665181079815206
4549-ZDQYY,Female,No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,49-72 Months,57.95,58.50480769230769,0.019373310778427695,Low,1.122683359609885
5712-AHQNN,Female,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,25-48 Months,91.65,91.95581395348836,0.5163841577727466,Medium,47.32660805987223
4846-WHAFZ,Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,25-48 Months,76.5,77.51756756756757,0.5019915617982258,Medium,38.40235447756427
